2022-05-05 06:49:12,172.21.13.147,10023,envio,00209216|172.21.169.241
2022-05-05 06:49:12,172.21.13.147,10023,recepcion,00205950|OK
2022-05-05 06:49:12,172.21.13.147,10023,envio,00209216|LIST
2022-05-05 06:49:12,172.21.13.147,10023,recepcion,00205950|5|172.21.169.241|172.21.147.17|172.21.146.183|172.21.146.252|172.21.169.12|
2022-05-05 06:49:15,172.21.13.147,10023,envio,00209216|LIST
2022-05-05 06:49:15,172.21.13.147,10023,recepcion,00205950|5|172.21.169.241|172.21.147.17|172.21.146.183|172.21.146.252|172.21.169.12|
2022-05-05 06:49:18,172.21.13.147,10023,envio,00209216|LIST
2022-05-05 06:49:18,172.21.13.147,10023,recepcion,00205950|5|172.21.169.241|172.21.147.17|172.21.146.183|172.21.146.252|172.21.169.12|
2022-05-05 06:49:20,172.21.13.147,10023,envio,00209216|EXIT
2022-05-05 06:49:20,172.21.13.147,10023,recepcion,00205950|EXIT_OK
2022-05-05 07:01:39,172.21.13.147,10023,envio,00209216|172.21.169.241
2022-05-05 07:01:39,172.21.13.147,10023,recepcion,00205950|OK
2022-05-05 07:01:39,172.21.13.147,10023,envio,00209216|LIST
2022-05-05 07:01:39,172.21.13.147,10023,recepcion,00205950|5|172.21.169.241|172.21.147.17|172.21.146.183|172.21.146.252|172.21.169.12|
2022-05-05 07:01:42,172.21.13.147,10023,envio,00209216|LIST
2022-05-05 07:01:42,172.21.13.147,10023,recepcion,00205950|5|172.21.169.241|172.21.147.17|172.21.146.183|172.21.146.252|172.21.169.12|
2022-05-05 07:01:43,172.21.13.147,10023,envio,00209216|EXIT
2022-05-05 07:01:43,172.21.13.147,10023,recepcion,00205950|EXIT_OK
2022-05-05 07:28:34,172.21.13.147,10023,envio,00209216|172.21.169.241
2022-05-05 07:28:34,172.21.13.147,10023,recepcion,00205950|OK
2022-05-05 07:28:34,172.21.13.147,10023,envio,00209216|LIST
2022-05-05 07:28:34,172.21.13.147,10023,recepcion,00205950|5|172.21.169.241|172.21.147.17|172.21.146.183|172.21.146.252|172.21.169.12|
2022-05-05 07:28:37,172.21.13.147,10023,envio,00209216|LIST
2022-05-05 07:28:38,172.21.13.147,10023,recepcion,00205950|5|172.21.169.241|172.21.147.17|172.21.146.183|172.21.146.252|172.21.169.12|
2022-05-05 07:28:39,172.21.13.147,10023,envio,00209216|EXIT
2022-05-05 07:28:39,172.21.13.147,10023,recepcion,00205950|EXIT_OK
2022-05-09 08:51:43,172.21.13.147,10023,envio,00209216|172.21.169.241
2022-05-09 08:51:43,172.21.13.147,10023,recepcion,00205950|OK
2022-05-09 08:51:43,172.21.13.147,10023,envio,00209216|LIST
2022-05-09 08:51:43,172.21.13.147,10023,recepcion,00205950|11|172.21.169.241|172.21.147.17|172.21.146.183|172.21.146.60|172.21.152.53|172.21.169.207|172.21.173.61|172.21.140.250|172.21.138.208|172.21.158.85|172.21.145.17|
